result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore, pf highscore
101,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11019015.0
102,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11019015.0
103,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11019015.0
104,8914605.0,8956215.0,8914605.0,8914605.0,9157785.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11019015.0
105,8914605.0,8956215.0,8914605.0,8914605.0,9168330.0,8914605.0,8213105.0,9137370.0,9194325.0,8914605.0,8888955.0,11019015.0
106,8914605.0,8956215.0,8914605.0,8914605.0,9168330.0,8914605.0,8213105.0,9137370.0,9205545.0,8914605.0,8888955.0,11019015.0
107,8914605.0,8956215.0,8914605.0,8914605.0,9168330.0,8914605.0,8213105.0,9137370.0,9222645.0,8914605.0,8888955.0,11019015.0
108,8914605.0,8956215.0,8914605.0,8914605.0,9185430.0,8914605.0,8213105.0,9137370.0,9222645.0,8914605.0,8888955.0,11019015.0
109,8914605.0,8956215.0,8914605.0,8914605.0,9185430.0,8914605.0,8213105.0,9137370.0,9222645.0,8914605.0,8888955.0,11019015.0
110,8914605.0,8956215.0,8914605.0,8914605.0,9185430.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
111,8914605.0,8956215.0,8914605.0,8914605.0,9185430.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
112,8914605.0,8956215.0,8914605.0,8914605.0,9185430.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
113,8914605.0,8956215.0,8914605.0,8914605.0,9193980.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
114,8914605.0,8956215.0,8914605.0,8914605.0,9193980.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
115,8914605.0,8956215.0,8914605.0,8914605.0,9193980.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
116,8914605.0,8956215.0,8914605.0,8914605.0,9218490.0,8914605.0,8213105.0,9137370.0,9256845.0,8914605.0,8888955.0,11019015.0
117,8914605.0,8956215.0,8914605.0,8914605.0,9218490.0,8914605.0,8213105.0,9137370.0,9264825.0,8914605.0,8888955.0,11019015.0
118,8914605.0,8956215.0,8914605.0,8914605.0,9234450.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
119,8914605.0,8956215.0,8914605.0,8914605.0,9250410.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
120,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
121,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
122,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
123,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9264825.0,9043335.0,8888955.0,11019015.0
124,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9299025.0,9043335.0,8888955.0,11019015.0
125,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9299025.0,9043335.0,8888955.0,11019015.0
126,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9333225.0,9043335.0,8888955.0,11019015.0
127,8914605.0,8956215.0,8914605.0,8914605.0,9258960.0,8914605.0,8213105.0,9137370.0,9367425.0,9043335.0,8888955.0,11019015.0
128,8914605.0,8956215.0,8914605.0,8914605.0,9274920.0,8914605.0,8213105.0,9137370.0,9367425.0,9043335.0,8888955.0,11019015.0
129,8914605.0,8956215.0,8914605.0,8914605.0,9274920.0,8914605.0,8213105.0,9137370.0,9367425.0,9043335.0,8888955.0,11019015.0
130,8914605.0,8956215.0,8914605.0,8914605.0,9274920.0,8914605.0,8213105.0,9137370.0,9367425.0,9043335.0,8888955.0,11019015.0
