result, random score, hillclimber move2 highscore, hillclimber rotate highscore, hillclimber swap highscore, sim move2 highscore, sim rotate highscore, sim swap highscore, hillclimber4 move highscore, sim move4 highscore, hillclimber move10 highscore, sim move10 highscore
40,23091495.0,23167365.0,23109795.0,23091495.0,23238960.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
41,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
42,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
43,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
44,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
45,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
46,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
47,23091495.0,23167365.0,23109795.0,23091495.0,23248080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
48,23091495.0,23203965.0,23109795.0,23091495.0,23256630.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
49,23091495.0,23203965.0,23109795.0,23091495.0,23256630.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
50,23091495.0,23203965.0,23109795.0,23091495.0,23264610.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
51,23091495.0,23203965.0,23128095.0,23091495.0,23273160.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
52,23091495.0,23203965.0,23128095.0,23091495.0,23273160.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
53,23091495.0,23203965.0,23128095.0,23091495.0,23273160.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
54,23091495.0,23203965.0,23128095.0,23091495.0,23273160.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
55,23091495.0,23203965.0,23128095.0,23091495.0,23273160.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
56,23091495.0,23203965.0,23128095.0,23091495.0,23281710.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
57,23091495.0,23203965.0,23128095.0,23091495.0,23281710.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
58,23091495.0,23203965.0,23128095.0,23091495.0,23297670.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
59,23091495.0,23203965.0,23128095.0,23091495.0,23297670.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
60,23091495.0,23203965.0,23128095.0,23091495.0,23297670.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
61,23091495.0,23203965.0,23128095.0,23091495.0,23297670.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
62,23091495.0,23203965.0,23128095.0,23091495.0,23297670.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
63,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
64,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
65,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
66,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
67,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
68,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
69,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
70,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
71,23091495.0,23203965.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
72,23091495.0,23220900.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
73,23091495.0,23229450.0,23128095.0,23091495.0,23305080.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
74,23091495.0,23229450.0,23128095.0,23091495.0,23308785.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
75,23091495.0,23229450.0,23128095.0,23091495.0,23308785.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
76,23091495.0,23229450.0,23128095.0,23091495.0,23308785.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
77,23091495.0,23229450.0,23128095.0,23091495.0,23308785.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
78,23091495.0,23229450.0,23128095.0,23091495.0,23316600.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
79,23091495.0,23229450.0,23128095.0,23091495.0,23316600.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
80,23091495.0,23229450.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
81,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
82,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
83,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
84,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
85,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
86,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
87,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
88,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
89,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
90,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
91,23091495.0,23253390.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
92,23091495.0,23274195.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
93,23091495.0,23274195.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
94,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
95,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
96,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
97,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
98,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
99,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
100,23091495.0,23282745.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
101,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
102,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
103,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
104,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
105,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
106,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
107,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
108,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
109,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
110,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
111,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
112,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
113,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
114,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
115,23091495.0,23299845.0,23128095.0,23091495.0,23340540.0,23141715.0,23091495.0,23387805.0,23135670.0,23091495.0,22474820.0
